Date,Product,Gross_Premium,Total_Incl_VAT,City,Payment_Status,Payment_Method,Policy_Start_Date,Policy_Term,Policy_Duration_Days,Policy_End_Date,Customer_ID
2025-02-02,Travel,854.0,1007.72,Los Angeles,Pending,Online,2025-02-02,1Y,365,2026-02-01,CUST0001
2025-10-09,Travel,921.0,1086.78,Los Angeles,Paid,Card,2025-10-09,1Y,365,2026-10-08,CUST0002
2025-08-27,Medical,858.0,1012.44,New York,Paid,Online,2025-08-27,1M,30,2025-09-25,CUST0003
2025-06-09,Motor,771.0,909.78,Chicago,Paid,Online,2025-06-09,1Y,365,2026-06-08,CUST0004
2025-06-07,Medical,822.0,969.96,Los Angeles,Paid,Cash,2025-06-07,1Y,365,2026-06-06,CUST0005
2025-11-09,Motor,862.0,1017.16,New York,Paid,Card,2025-11-09,1Y,365,2026-11-08,CUST0006
2025-02-01,Medical,907.0,1070.26,Miami,Paid,Cash,2025-02-01,1Y,365,2026-01-31,CUST0007
2025-09-11,Medical,1069.0,1261.42,Miami,Paid,Online,2025-09-11,1Y,365,2026-09-10,CUST0008
2025-03-15,Medical,918.0,1083.24,New York,Paid,Card,2025-03-15,1Y,365,2026-03-14,CUST0009
2025-02-04,Motor,855.0,1008.9,Los Angeles,Failed,Online,2025-02-04,3M,90,2025-05-04,CUST0010
2025-07-11,Motor,964.0,1137.52,Atlanta,Paid,Online,2025-07-11,3M,90,2025-10-08,CUST0011
2025-12-22,Medical,1009.0,1190.62,Phoenix,Pending,Bank Transfer,2025-12-22,1Y,365,2026-12-21,CUST0012
2025-09-25,Other,872.0,1028.96,Chicago,Pending,Cash,2025-09-25,1Y,365,2026-09-24,CUST0013
2025-10-05,Motor,896.0,1057.28,Houston,Pending,Bank Transfer,2025-10-05,1Y,365,2026-10-04,CUST0014
2025-09-19,Medical,787.0,928.66,Los Angeles,Paid,Cash,2025-09-19,1Y,365,2026-09-18,CUST0015
2025-10-14,Motor,1046.0,1234.28,Seattle,Pending,Online,2025-10-14,6M,180,2026-04-11,CUST0016
2025-07-06,Motor,1047.0,1235.46,Atlanta,Pending,Card,2025-07-06,1Y,365,2026-07-05,CUST0017
2025-02-16,Other,770.0,908.6,Atlanta,Pending,Card,2025-02-16,3M,90,2025-05-16,CUST0018
2025-11-02,Medical,838.0,988.84,Los Angeles,Failed,Card,2025-11-02,1Y,365,2026-11-01,CUST0019
2025-06-13,Motor,809.0,954.62,Los Angeles,Paid,Online,2025-06-13,1Y,365,2026-06-12,CUST0020
2025-07-02,Travel,1070.0,1262.6,New York,Paid,Card,2025-07-02,1M,30,2025-07-31,CUST0021
2025-05-15,Motor,726.0,856.68,Los Angeles,Failed,Online,2025-05-15,1Y,365,2026-05-14,CUST0022
2025-03-08,Motor,783.0,923.94,Los Angeles,Paid,Bank Transfer,2025-03-08,6M,180,2025-09-03,CUST0023
2025-12-04,Medical,826.0,974.68,Miami,Pending,Card,2025-12-04,6M,180,2026-06-01,CUST0024
2025-10-12,Medical,924.0,1090.32,New York,Paid,Online,2025-10-12,1Y,365,2026-10-11,CUST0025
2025-08-23,Medical,799.0,942.82,Atlanta,Paid,Bank Transfer,2025-08-23,1Y,365,2026-08-22,CUST0026
2025-05-27,Medical,915.0,1079.7,New York,Paid,Card,2025-05-27,1Y,365,2026-05-26,CUST0027
2025-10-27,Medical,999.0,1178.82,New York,Paid,Card,2025-10-27,6M,180,2026-04-24,CUST0028
2025-07-18,Travel,1032.0,1217.76,Seattle,Refunded,Card,2025-07-18,3M,90,2025-10-15,CUST0029
2025-06-11,Medical,739.0,872.02,Miami,Paid,Card,2025-06-11,1Y,365,2026-06-10,CUST0030
2025-06-13,Motor,755.0,890.9,Chicago,Pending,Card,2025-06-13,1Y,365,2026-06-12,CUST0031
2025-03-24,Medical,738.0,870.84,Phoenix,Paid,Bank Transfer,2025-03-24,1Y,365,2026-03-23,CUST0032
2025-02-03,Medical,1064.0,1255.52,Los Angeles,Refunded,Card,2025-02-03,1Y,365,2026-02-02,CUST0033
2025-07-21,Travel,961.0,1133.98,New York,Paid,Card,2025-07-21,6M,180,2026-01-16,CUST0034
2025-11-20,Medical,913.0,1077.34,Houston,Paid,Card,2025-11-20,6M,180,2026-05-18,CUST0035
2025-01-24,Medical,1017.0,1200.06,Chicago,Paid,Card,2025-01-24,1Y,365,2026-01-23,CUST0036
2025-11-09,Travel,935.0,1103.3,Phoenix,Paid,Online,2025-11-09,1Y,365,2026-11-08,CUST0037
2025-10-29,Medical,794.0,936.92,Los Angeles,Refunded,Card,2025-10-29,1Y,365,2026-10-28,CUST0038
2025-04-11,Travel,904.0,1066.72,Miami,Refunded,Card,2025-04-11,1Y,365,2026-04-10,CUST0039
2025-08-18,Other,981.0,1157.58,Dallas,Paid,Bank Transfer,2025-08-18,1Y,365,2026-08-17,CUST0040
2025-03-02,Medical,714.0,842.52,New York,Paid,Online,2025-03-02,6M,180,2025-08-28,CUST0041
2025-10-03,Medical,943.0,1112.74,New York,Paid,Cash,2025-10-03,1Y,365,2026-10-02,CUST0042
2025-09-12,Motor,899.0,1060.82,Chicago,Paid,Online,2025-09-12,1Y,365,2026-09-11,CUST0043
2025-05-10,Travel,727.0,857.86,Dallas,Paid,Online,2025-05-10,1Y,365,2026-05-09,CUST0044
2025-01-25,Motor,805.0,949.9,Miami,Paid,Bank Transfer,2025-01-25,1Y,365,2026-01-24,CUST0045
2025-12-20,Motor,879.0,1037.22,Miami,Paid,Online,2025-12-20,1Y,365,2026-12-19,CUST0046
2025-06-12,Medical,837.0,987.66,Chicago,Failed,Card,2025-06-12,3M,90,2025-09-09,CUST0047
2025-11-22,Motor,816.0,962.88,Los Angeles,Paid,Online,2025-11-22,1Y,365,2026-11-21,CUST0048
2025-09-04,Other,960.0,1132.8,Houston,Paid,Online,2025-09-04,1Y,365,2026-09-03,CUST0049
2025-10-11,Motor,862.0,1017.16,Los Angeles,Paid,Online,2025-10-11,1Y,365,2026-10-10,CUST0050
